2023Sep10	11:56:34	 389c98b5-8175-4d6a-b562-93a16a9e5483	 Error	 Multipart: Boundary not found	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:17:35	 06a58d5d-3fee-4da0-a88a-4203e6ddb870	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:17:55	 ba9d4c5e-b1c1-4e0a-9eba-cbcbe5c593ef	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:18:05	 1ca58ff0-f2cc-4c4a-9ec5-90d8628770b9	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:18:30	 d9a4c12c-b776-47fb-9d03-418adbfc4321	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:19:20	 e50df8df-2dc0-4b92-9f77-839318eec1f1	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:22:25	 43b0cbb9-d84b-4a68-af2b-0226d79b0776	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /posts/create	  http://localhost:5173
2023Sep10	12:38:33	 8c8f8a5c-4945-4ddb-964c-c622a2c10410	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:42:01	 5fc232d2-e69d-422a-808c-440355d2f2d6	 TypeError	 Cannot read properties of undefined (reading 'mimetype')	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:51:41	 37303b4a-1999-4eb9-9319-b18cc71d3fd5	 Error	 Invalid file type. Only image files (jpeg, png, gif) are allowed.	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:53:07	 41e1598c-64c0-45e7-9c80-97baec77024d	 ReferenceError	 file is not defined	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:55:05	 4edb047f-f9fc-4a20-b242-1618c51c0319	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:56:25	 bcff9d40-d96c-4fe2-8701-c4f68d9400c4	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	12:58:44	 2af33b99-b2cd-4f7f-b60b-b6f449acaf21	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	13:00:53	 cfdb4f5d-10ab-4f07-bf70-db2f0fab1d79	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	13:01:27	 37beb2ea-b0a1-4a85-948c-9609af2e6535	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	13:02:30	 cbbbec6d-af93-468f-a0ec-b745cee0d3fa	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	13:03:12	 f1b443e8-5cc6-455f-aea0-940012d869be	 MulterError	 File too large	 POST	 /upload/profile	  http://localhost:5173
2023Sep10	17:57:20	 d52f47e5-8df0-4118-be6f-f20d9987f8e0	 MulterError	 File too large	 POST	 /posts/create	  http://localhost:5173
